address,price,beds,baths,sqft,property_type,link,full_text
"340 Lombard St, San Francisco, CA 94133COMPASS, Neal Allen Ward","$15,500,0005",5.0,6,"5,725",House,https://www.zillow.com/homedetails/340-Lombard-St-San-Francisco-CA-94133/332849310_zpid/,"340 Lombard St, San Francisco, CA 94133COMPASS, Neal Allen Ward DRE #01052285$15,500,0005 bds6 ba5,725 sqft - House for saleShow more"
"363 Panorama Dr, San Francisco, CA 94131VANGUARD PROPERTIES, Kevin  Reynolds","$1,250,0002",2.0,1,"1,062",House,https://www.zillow.com/homedetails/363-Panorama-Dr-San-Francisco-CA-94131/15132384_zpid/,"363 Panorama Dr, San Francisco, CA 94131VANGUARD PROPERTIES, Kevin  Reynolds DRE #01102621$1,250,0002 bds1 ba1,062 sqft - House for saleShow more"
"650 Chestnut St APT 205, San Francisco, CA 94133","$1,250,0003",3.0,2,"1,408",Condo,https://www.zillow.com/homedetails/650-Chestnut-St-APT-205-San-Francisco-CA-94133/15063706_zpid/,"650 Chestnut St APT 205, San Francisco, CA 94133$1,250,0003 bds2 ba1,408 sqft - Condo for saleShow more"
"192 Yerba Buena Ave, San Francisco, CA 94127SOTHEBY'S INTERNATIONAL REALTY, Adrian Tan","$2,749,0004",4.0,3,"2,241",House,https://www.zillow.com/homedetails/192-Yerba-Buena-Ave-San-Francisco-CA-94127/15137255_zpid/,"192 Yerba Buena Ave, San Francisco, CA 94127SOTHEBY'S INTERNATIONAL REALTY, Adrian Tan DRE #02033364$2,749,0004 bds3 ba2,241 sqft - House for saleShow more"
"1856 Franklin St APT 4, San Francisco, CA 94109COMPASS, John L. Townsend","$1,349,0003",3.0,2,,House,https://www.zillow.com/homedetails/1856-Franklin-St-APT-4-San-Francisco-CA-94109/2082272063_zpid/,"1856 Franklin St APT 4, San Francisco, CA 94109COMPASS, John L. Townsend DRE #01716201$1,349,0003 bds2 ba-- sqft - House for saleShow more"
"555 Fulton St #322, San Francisco, CA 94102COMPASS, Robert Belli","$289,9351",9351.0,1,640,Condo,https://www.zillow.com/homedetails/555-Fulton-St-322-San-Francisco-CA-94102/325647928_zpid/,"555 Fulton St #322, San Francisco, CA 94102COMPASS, Robert Belli DRE #01913570$289,9351 bd1 ba640 sqft - Condo for saleShow more"
"2687 45th Ave, San Francisco, CA 94116","$1,649,0005",5.0,2,"1,700",House,https://www.zillow.com/homedetails/2687-45th-Ave-San-Francisco-CA-94116/15124590_zpid/,"2687 45th Ave, San Francisco, CA 94116$1,649,0005 bds2 ba1,700 sqft - House for saleShow more"
"150 Athens St, San Francisco, CA 94112","$698,0002",2.0,1,750,House,https://www.zillow.com/homedetails/150-Athens-St-San-Francisco-CA-94112/15168055_zpid/,"150 Athens St, San Francisco, CA 94112$698,0002 bds1 ba750 sqft - House for saleShow more"
"73 Santa Paula Ave, San Francisco, CA 94127BERKSHIRE HATHAWAY-FRANCISCAN, Andrew Herrera II","$3,895,0004",4.0,5,"3,215",House,https://www.zillow.com/homedetails/73-Santa-Paula-Ave-San-Francisco-CA-94127/15136802_zpid/,"73 Santa Paula Ave, San Francisco, CA 94127BERKSHIRE HATHAWAY-FRANCISCAN, Andrew Herrera II DRE #01199229$3,895,0004 bds5 ba3,215 sqft - House for saleShow more"
"170 Eastwood Dr, San Francisco, CA 94112FIFTY HILLS REAL ESTATE, Brian Tran","$2,288,0005",5.0,4,"2,604",House,https://www.zillow.com/homedetails/170-Eastwood-Dr-San-Francisco-CA-94112/15140579_zpid/,"170 Eastwood Dr, San Francisco, CA 94112FIFTY HILLS REAL ESTATE, Brian Tran DRE #01936086$2,288,0005 bds4 ba2,604 sqft - House for saleShow more"
"1632 Bush St, San Francisco, CA 94109KW ADVISORS, Tim A. Brown","$1,495,0004",4.0,2,,House,https://www.zillow.com/homedetails/1632-Bush-St-San-Francisco-CA-94109/447287724_zpid/,"1632 Bush St, San Francisco, CA 94109KW ADVISORS, Tim A. Brown DRE #00580970$1,495,0004 bds2 ba-- sqft - House for saleShow more"
"1615 La Salle Ave, San Francisco, CA 94124","$799,0003",3.0,2,"1,250",House,https://www.zillow.com/homedetails/1615-La-Salle-Ave-San-Francisco-CA-94124/15156014_zpid/,"1615 La Salle Ave, San Francisco, CA 94124$799,0003 bds2 ba1,250 sqft - House for saleShow more"
